recipient,reason,rewardToken,rewardAmount
0xc6709E64cCb02DD98FEe9C10Da859ee74fE9Ba35,ERC20,PYTH,571.295333
0xdB02db34221f6116A993B4a70cEFe28b9aFF379B,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,569.215327
0x17eD9Ed24F146dD26Df2b39AD7cB195E9b50571e,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,564.079561
0xf17C85a47558fE00fd3b010744B34ad01d7069F9,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,548.238864
0x11e1B440E87d6A8C14620F06213b9e218a286271,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,528.336946
0x148832f37889f6C186DD6DCe6aB8bf50CB5c05D8,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,514.582931
0xA0619482c0fcf425D0571f49822F39B17A99b781,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,514.317849
0x0f3cD69A5f6F9f1844e0cDbE0E191E18Cab9BE82,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,437.154738
0x4F4715CA99C973A55303bc4a5f3e3acBb9fF75DB,ERC20,PYTH,430.755948
0x50ED348f85De0772a61fF63Bbe33dF8dB30DE1B2,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,424.122887
0x7c1124184c6F0952e5fB4ACd1246aD1197BFf1C7,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,388.476539
0xEC0c666ACd059E2bBf5DD055f1a282bF0EBf16FC,ERC20,PYTH,385.680179
0xFc6D5d8B8Ef99523fB565a741b177D47Fe333858,ERC20,PYTH,371.096742
0xE629E1F7d250d39AF4d704B486B094A4bA91Ef3b,ERC20,PYTH,368.647066
0xc24CFD03cbc1b7Ff8EdAc1C85A6b9aE5Bf65869a,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,363.111069
0x0397D4A6f9078884a1815f9dbE1e3fDcCfdc4C50,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,360.161029
0xaAD747958F996B22F360fD1d0e3BA56eFD477C1f,ERC20,PYTH,343.148256
0x4530F1232A8DCcF18453446f6fBcB86ADe5E5Eff,ERC20,PYTH,334.238166
0x15977e15d7b24C76f94D2902970e0F0EEDd78618,ERC20,PYTH,316.657229
0x65D31F7eC97129EcE2c71672057a0CAC9282080E,ERC20,PYTH,311.778173
0xd05296fE69Ad59f2707836c9592021A8D6964651,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,306.778826
0xc15fc417a1BB9850D0d7C9B8C98d87C009597e08,ERC20,PYTH,287.895707
